,rk,player,tm,fantpos,age,games,games_started,passes_completed,pass_attempts,passing_yds,passing_td,passes_intercepted,rushing_att,rushing_yds,yds_rushing_att,rushing_td,targets,receptions,receiving_yds,yds_reception,receiving_td,fumbles,fumbles_lost,touchdowns,2_pt_conv_made,2_pt_conv_passes,fantasy_points,fantasy_points_ppr_,draftkings_points,fanduel_points,vbd,posrank,ovrank
246,247,Darius Slayton,NYG,WR,28,5,4,0,0,0,0,0,0,0,,0,18,12,166,13.83,0,1,1,0,,,15,26.6,30.6,20.6,,100,
247,248,Jalen Tolbert,DAL,WR,26,7,5,0,0,0,0,0,0,0,,0,22,12,125,10.42,0,0,0,0,1,,15,26.5,29.5,20.5,,101,
248,249,Emari Demercado,ARI,RB,26,6,0,0,0,0,0,0,8,90,11.25,0,4,2,13,6.50,1,1,1,1,,,14,16.3,17.3,15.3,,64,
249,250,Greg Dortch,ARI,WR,27,7,2,0,0,0,0,0,2,9,4.50,0,16,15,73,4.87,1,0,0,1,,,14,29.2,29.2,21.7,,102,
250,251,Ollie Gordon,MIA,RB,21,7,0,0,0,0,0,0,28,70,2.50,1,6,4,7,1.75,0,0,0,1,,,14,17.7,17.7,15.7,,65,
251,252,Van Jefferson,TEN,WR,29,7,1,0,0,0,0,0,0,0,,0,14,12,140,11.67,0,0,0,0,,,14,26.0,29.0,20.0,,103,
252,253,Braelon Allen,NYJ,RB,21,4,0,0,0,0,0,0,18,76,4.22,1,3,2,17,8.50,0,1,1,1,,,13,15.3,16.3,14.3,,66,
253,254,Isaiah Bond,CLE,WR,21,7,1,0,0,0,0,0,1,9,9.00,0,26,11,123,11.18,0,0,0,0,,,13,24.2,27.2,18.7,,107,
254,255,Brandin Cooks,NOR,WR,32,7,2,0,0,0,0,0,0,0,,0,18,14,127,9.07,0,0,0,0,,,13,26.7,29.7,19.7,,109,
255,256,Kameron Johnson,TAM,WR,23,7,0,0,0,0,0,0,1,2,2.00,0,5,4,64,16.00,1,0,0,1,,,13,16.6,16.6,14.6,,110,
256,257,Dawson Knox,BUF,TE,29,6,5,0,0,0,0,0,0,0,,0,12,7,73,10.43,1,0,0,1,,,13,20.3,20.3,16.8,,45,
257,258,Tyler Lockett,TEN,WR,33,7,1,0,0,0,0,0,0,0,,0,21,10,70,7.00,0,0,0,1,,,13,23.0,23.0,18.0,,108,
258,259,Adonai Mitchell,IND,WR,23,6,1,0,0,0,0,0,0,0,,0,14,8,145,18.13,0,1,1,0,,,13,20.5,24.5,16.5,,111,
259,260,Kalif Raymond,DET,WR,31,7,2,0,0,0,0,0,1,9,9.00,0,12,9,64,7.11,0,0,0,1,,,13,22.3,22.3,17.8,,105,
260,261,Jeremy Ruckert,NYJ,TE,25,7,6,0,0,0,0,0,0,0,,0,9,8,72,9.00,1,0,0,1,,,13,21.2,21.2,17.2,,46,
261,262,Jordan Whittington,LAR,WR,25,7,4,0,0,0,0,0,3,12,4.00,0,17,12,121,10.08,0,0,0,0,,,13,25.3,28.3,19.3,,106,
262,263,Dontayvion Wicks,GNB,WR,24,6,4,0,0,0,0,0,0,0,,0,20,13,134,10.31,0,0,0,0,,,13,26.4,29.4,19.9,,104,
263,264,Emanuel Wilson,GNB,RB,26,6,0,0,0,0,0,0,24,101,4.21,0,5,5,31,6.20,0,0,0,0,,,13,18.2,21.2,15.7,,67,
264,265,Elijah Arroyo,SEA,TE,22,7,1,0,0,0,0,0,0,0,,0,17,11,140,12.73,0,1,1,0,,,12,23.0,27.0,17.5,,47,
265,266,Isaiah Davis,NYJ,RB,23,7,0,0,0,0,0,0,10,44,4.40,0,14,9,73,8.11,0,0,0,0,,,12,20.7,20.7,16.2,,68,
266,267,Tyler Johnson,NYJ,WR,27,6,2,0,0,0,0,0,0,0,,0,10,7,123,17.57,0,0,0,0,,,12,19.3,22.3,15.8,,112,
267,268,Tim Patrick,JAX,WR,32,7,0,0,0,0,0,0,0,0,,0,6,4,63,15.75,1,0,0,1,,,12,16.3,16.3,14.3,,113,
268,269,Josh Reynolds,NYJ,WR,30,5,3,0,0,0,0,0,0,0,,0,21,11,101,9.18,0,0,0,0,1,,12,23.1,26.1,17.6,,114,
269,270,Adam Trautman,DEN,TE,28,7,4,0,0,0,0,0,0,0,,0,8,7,58,8.29,1,0,0,1,,,12,18.8,18.8,15.3,,48,
270,271,Ameer Abdullah,IND,RB,32,3,0,0,0,0,0,0,5,32,6.40,1,2,2,17,8.50,0,0,0,1,,,11,12.9,12.9,11.9,,69,
271,272,Nate Adkins,DEN,TE,26,5,3,0,0,0,0,0,0,0,,0,9,6,48,8.00,1,0,0,1,,,11,16.8,16.8,13.8,,51,
272,273,Ray Davis,BUF,RB,26,6,0,0,0,0,0,0,13,30,2.31,0,4,3,18,6.00,1,0,0,1,,,11,13.8,13.8,12.3,,70,
273,274,Jahan Dotson,PHI,WR,25,7,4,0,0,0,0,0,0,0,,0,12,7,111,15.86,0,0,0,0,,,11,18.1,21.1,14.6,,115,
274,275,Terrance Ferguson,LAR,TE,22,5,0,0,0,0,0,0,1,0,0.00,0,4,2,52,26.00,1,0,0,1,,,11,13.2,13.2,12.2,,50,
275,276,Jackson Hawes,BUF,TE,25,6,2,0,0,0,0,0,0,0,,0,4,4,54,13.50,1,0,0,1,,,11,15.4,15.4,13.4,,49,
276,277,Christian Kirk,HOU,WR,29,3,2,0,0,0,0,0,0,0,,0,16,10,109,10.90,0,0,0,0,,,11,20.9,23.9,15.9,,116,
277,278,Jayden Reed,GNB,WR,25,2,1,0,0,0,0,0,0,0,,0,5,3,45,15.00,1,0,0,1,,,11,13.5,13.5,12.0,,118,
278,279,Brycen Tremayne,CAR,WR,26,7,1,0,0,0,0,0,0,0,,0,12,9,108,12.00,0,1,0,0,,,11,19.8,22.8,15.3,,117,
279,280,Luke Farrell,SFO,TE,28,7,4,0,0,0,0,0,0,0,,0,9,7,58,8.29,1,1,1,1,,,10,16.8,17.8,13.3,,53,
280,281,Elijah Higgins,ARI,TE,25,7,3,0,0,0,0,0,0,0,,0,11,9,102,11.33,0,0,0,0,,,10,19.2,22.2,14.7,,52,
